,obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
59674,1.2376793228627151e+18,38.1085457990656,-4.56185996643927,24.88282,22.73346,22.09007,21.90676,22.09997,7881,301,3,276,1.049228693045224e+19,GALAXY,0.885777,9319,58043,93
853,1.2376634787254776e+18,341.439508727364,-0.271693793301624,21.90152,23.33696,21.31207,20.20925,19.34572,4192,301,3,232,1.0302238544614414e+19,GALAXY,0.9257445,9150,58043,925
86929,1.2376792552097068e+18,37.5476173595254,-3.54203213547634,23.71694,22.99913,23.83202,21.50384,22.97031,7865,301,5,165,1.049250188497547e+19,GALAXY,1.07563,9319,58043,875
39708,1.237663479261693e+18,339.988738024678,0.0784398978991191,25.78359,23.08053,21.51049,20.48397,19.59986,4192,301,4,222,1.0302155531486515e+19,GALAXY,0.6582459,9150,58043,623
32482,1.2376786184759547e+18,324.274124280958,1.58634768979605,21.61619,21.30076,21.18163,20.94457,21.04649,7717,301,3,91,1.0316834286595232e+19,QSO,1.924694,9163,58043,776
11662,1.237678597537596e+18,323.355881379806,2.13741911128214,21.06315,20.67923,20.39056,20.49134,20.42321,7712,301,4,85,1.0316774912967332e+19,QSO,1.010389,9163,58043,560
61474,1.2376793228622566e+18,37.1086542582677,-4.52594357026922,22.3537,22.22798,21.73524,21.19611,20.67804,7881,301,3,269,1.0492350702126651e+19,GALAXY,0.8930632,9319,58043,325
89192,1.2376792552096412e+18,37.3718666379798,-3.42826221543664,26.56256,22.55008,23.08574,22.6236,21.64147,7865,301,5,164,1.0492487316446405e+19,GALAXY,0.9418268,9319,58043,822
6923,1.2376792546730314e+18,37.9689946148591,-3.89898045070871,23.22944,23.00701,21.40472,21.89845,21.02765,7865,301,4,168,1.0492293527522e+19,GALAXY,0.4321865,9319,58043,117
8899,1.2376799982336748e+18,339.546781741505,-1.71090325514235,25.84624,23.64051,22.17637,20.93344,19.98602,8038,301,5,83,1.0302105503707451e+19,GALAXY,0.6531492,9150,58043,441
18951,1.237678597537792e+18,323.8375880745,2.1923537055967,19.79872,19.40881,19.36359,18.82294,18.66698,7712,301,4,88,1.0316806523926632e+19,QSO,0.4484404,9163,58043,675
76462,1.2376792552092467e+18,36.4427343292321,-3.48988199651319,23.09651,21.96937,21.49453,20.91697,20.67013,7865,301,5,158,1.0492435639399895e+19,GALAXY,0.7345859,9319,58043,634
94562,1.2376792541362916e+18,38.2758942258646,-4.24547539955475,21.59396,23.1837,21.35838,20.69086,20.25779,7865,301,3,170,1.0492279233870844e+19,GALAXY,0.7478494,9319,58043,65
12662,1.237678597537596e+18,323.368479651822,2.09640119679336,21.83497,21.84059,21.90944,21.68125,21.26449,7712,301,4,85,1.0316776287356869e+19,QSO,2.086027,9163,58043,565
20920,1.2376785975385137e+18,325.528900703525,2.14602949465014,21.58301,21.3586,21.07288,20.85673,20.36143,7712,301,4,99,1.0316891186322e+19,QSO,1.41282,9163,58043,983
2772,1.2376634588527342e+18,323.011263684035,0.965574993716152,22.53833,21.6549,21.26357,20.87731,20.6147,4187,301,6,102,1.0316753472490592e+19,GALAXY,1.263215,9163,58043,482
13110,1.2376786184757583e+18,323.807747862831,1.63058268930373,23.84572,23.36625,22.05199,20.55342,19.64332,7717,301,3,88,1.0316811471729e+19,STAR,8.877727e-05,9163,58043,693
63073,1.2376788799628908e+18,36.57211389079,-2.63910863173022,22.06465,22.05946,21.76873,21.55767,21.07852,7778,301,2,561,1.0492444985248731e+19,QSO,1.102316,9319,58043,668
42264,1.237663479261889e+18,340.430741723633,0.198444438231385,20.51487,20.20351,19.95679,20.01874,19.92678,4192,301,4,225,1.0302179720742328e+19,QSO,0.9888262,9150,58043,711
