,obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
96773,1.2376607648349555e+18,124.163601751026,26.1362447395584,26.17279,25.13482,22.11209,20.61292,19.91841,3560,301,4,109,1.2525813901357769e+19,GALAXY,0.703196,11125,58433,645
47649,1.2376793180180977e+18,5.77736443342928,9.41172124524718,23.04586,22.49166,22.17573,22.31556,21.94926,7880,301,2,81,1.2736390444164076e+19,QSO,3.139044,11312,58433,766
17228,1.237669517981057e+18,5.39980382899432,7.70269763411873,20.0795,18.96747,18.79439,18.74158,18.70934,5598,301,4,151,1.2736268123495487e+19,STAR,-0.0002086922,11312,58433,321
79024,1.2376788251768271e+18,338.046026304864,4.62770290803009,22.65979,23.48601,22.41099,20.88326,19.85641,7765,301,4,176,1.2767718004340578e+19,GALAXY,0.9737239,11340,58433,47
25961,1.237669517980795e+18,4.80998823118261,7.6487348488198,17.95526,16.97229,16.65408,16.53627,16.49466,5598,301,4,147,1.2736305232012925e+19,STAR,-0.0008878284,11312,58433,456
11459,1.2376697676258353e+18,20.0915985055959,7.84274471352558,26.48759,26.44887,21.89254,20.86764,19.65325,5656,301,5,148,1.2471815236050244e+19,GALAXY,0.8025778,11077,58433,807
47780,1.23766095810855e+18,124.880519430292,26.9662359587675,24.02405,23.04365,21.71527,20.58046,19.66987,3605,301,4,110,1.2525853483776369e+19,GALAXY,0.6095598,11125,58433,789
68615,1.2376793180182287e+18,6.10355597795905,9.56008912827473,23.75339,22.45577,20.56711,19.88131,19.37925,7880,301,2,83,1.2736410235373375e+19,GALAXY,0.3483749,11312,58433,838
94135,1.2376696822634255e+18,4.20202548491847,8.65910978856017,22.1842,22.30717,21.63444,21.31419,21.05799,5636,301,6,149,1.2736316776885e+19,QSO,1.748789,11312,58433,498
53822,1.237679318018491e+18,6.78604489237057,9.51556054844209,23.60945,22.06757,21.59788,21.36177,21.36106,7880,301,2,87,1.2736449817792e+19,QSO,4.272948,11312,58433,982
38049,1.2376697026574423e+18,6.68624429305532,7.8522280139439,23.08035,23.05872,21.98289,20.80572,19.86389,5641,301,4,41,1.273619500597224e+19,GALAXY,0.7527454,11312,58433,55
94414,1.2376696822634908e+18,4.33013681866788,8.68232162785832,21.57212,20.42957,19.85264,19.62226,19.50235,5636,301,6,150,1.2736315952251296e+19,STAR,-9.830947e-05,11312,58433,495
35580,1.2376609575718095e+18,125.421003703161,26.800221166929,19.40474,19.1333,19.34569,19.68558,19.94304,3605,301,3,112,1.252588564449148e+19,STAR,0.001541968,11125,58433,906
28970,1.237660957570827e+18,123.461491611809,25.2665117013386,26.96145,23.12896,21.55157,20.2392,19.42879,3605,301,3,97,1.2525768271625212e+19,GALAXY,0.5947026,11125,58433,479
96327,1.2376696822638185e+18,5.12906706970404,8.70072348805836,21.03462,20.87599,20.33796,20.03577,19.98968,5636,301,6,155,1.2736288739338508e+19,QSO,1.470013,11312,58433,396
57529,1.2376788251763684e+18,337.051103439756,4.59948714444789,25.53407,23.74092,21.82611,20.49791,19.74761,7765,301,4,169,1.2767782875526615e+19,GALAXY,0.641263,11340,58433,283
82660,1.2376609581078287e+18,123.505801979803,25.8152778355502,24.38644,22.65127,21.19605,20.59804,20.09191,3605,301,4,99,1.2525783939665908e+19,STAR,0.001019404,11125,58433,536
96333,1.2376788251764332e+18,337.118840016902,4.62669753482155,22.26597,22.07579,21.91615,21.47126,21.27998,7765,301,4,170,1.2767783150404524e+19,QSO,1.842787,11340,58433,284
41239,1.237669761186661e+18,336.263604988483,5.42050331196725,23.81059,23.26125,21.72033,20.52238,19.79149,5655,301,1,198,1.2767834552573125e+19,GALAXY,0.5261226,11340,58433,471
94805,1.2376696822641464e+18,5.83126547427111,8.57881158571851,21.99799,21.68936,21.34404,21.3006,20.73401,5636,301,6,160,1.27362329391234e+19,QSO,1.019486,11312,58433,193
35858,1.2376609575717445e+18,125.343427628648,26.6120705100258,22.89073,20.73286,20.14794,19.89615,19.85828,3605,301,3,111,1.2525875199131e+19,STAR,0.0002738092,11125,58433,868
47471,1.2376696822637532e+18,4.86377473300581,8.74546258768361,23.16852,24.60043,21.91165,20.35432,19.55274,5636,301,6,154,1.2736300559088509e+19,GALAXY,0.5644509,11312,58433,439
94369,1.237669682264015e+18,5.45442018044378,8.73522266109458,22.28493,21.37131,21.15371,21.09465,21.31183,5636,301,6,158,1.2736267573739672e+19,QSO,3.156225,11312,58433,319
94803,1.237669682263884e+18,5.16069510523096,8.6081762262003,21.153,21.41652,20.93156,20.9231,20.73161,5636,301,6,156,1.2736278843733858e+19,QSO,1.343824,11312,58433,360
72391,1.2376793180175078e+18,4.4632421435922,9.41215042710872,25.88581,24.93708,22.57925,21.14875,20.18501,7880,301,2,72,1.2736331345414085e+19,GALAXY,0.6203837,11312,58433,551
18300,1.2376695179811228e+18,5.53539415063267,7.50481400819262,21.21083,21.02769,21.08351,20.88442,20.85933,5598,301,4,152,1.273625355496642e+19,QSO,1.631433,11312,58433,268
94804,1.2376696822639496e+18,5.43366398513979,8.74282609259182,20.70112,20.54742,20.24864,20.23377,20.01851,5636,301,6,157,1.2736267298861769e+19,QSO,0.9778622,11312,58433,318
9074,1.2376793174816852e+18,6.88318467809199,8.98319800488098,21.46632,21.45654,21.34269,21.03448,21.26247,7880,301,1,88,1.2736454490716396e+19,QSO,1.768122,11312,58433,999
52991,1.2376793180183598e+18,6.43982871576213,9.46573087702886,22.643,22.45219,22.17373,21.72347,21.19608,7880,301,2,85,1.2736433874873377e+19,GALAXY,1.310298,11312,58433,924
68924,1.2376696822638843e+18,5.19505009145814,8.69253949905274,25.27185,23.66272,22.64246,20.55455,19.79099,5636,301,6,156,1.2736278568856e+19,GALAXY,0.8233023,11312,58433,359
36073,1.237660957571351e+18,124.429666769891,26.1202066590985,20.60291,20.2965,20.30845,19.98821,19.79849,3605,301,3,105,1.252582627086358e+19,QSO,0.6081384,11125,58433,690
95952,1.2376697676257687e+18,19.8095594370179,7.86346967097201,18.80771,17.87344,17.55606,17.42778,17.38623,5656,301,5,147,1.2471805340445596e+19,STAR,5.216407e-05,11077,58433,771
70805,1.23767931801836e+18,6.38468430164272,9.40929074079918,23.35258,23.67217,21.61598,20.52719,19.80793,7880,301,2,85,1.273642260487919e+19,GALAXY,0.573368,11312,58433,883
62849,1.237678825176368e+18,337.039825740123,4.50454596935787,24.09542,23.90392,22.47326,21.16998,19.91354,7765,301,4,169,1.2767783975038245e+19,GALAXY,0.9344156,11340,58433,287
95197,1.237669682263556e+18,4.44976246142869,8.74777198518144,18.93612,17.90722,17.44471,17.22887,17.12614,5636,301,6,151,1.2736328321757108e+19,STAR,-0.0005185957,11312,58433,540
51553,1.237660958108288e+18,124.350360141562,26.5222400160276,27.04483,22.75908,22.18426,21.15041,19.87336,3605,301,4,106,1.252582159793916e+19,GALAXY,0.7150668,11125,58433,673
52392,1.2376607653720883e+18,124.371640560888,26.9134610442882,19.85854,19.7982,19.51637,19.49653,19.58831,3560,301,5,113,1.2525818299404276e+19,QSO,1.143746,11125,58433,661
95237,1.2376696822642117e+18,5.97435278465611,8.56671501911803,20.54239,20.53764,20.47501,20.13309,20.46623,5636,301,6,161,1.2736222218885e+19,QSO,1.783081,11312,58433,154
22964,1.2376607653719583e+18,124.222543729705,26.600640850658,24.80635,23.55527,22.22608,20.78895,19.96946,3560,301,5,111,1.2525809503311256e+19,GALAXY,0.8237393,11125,58433,629
53016,1.2376607653716303e+18,123.540360762692,26.2317019695639,24.08889,22.61133,21.15188,20.5224,19.9453,3560,301,5,106,1.2525774593817072e+19,STAR,-0.0009774442,11125,58433,502
95036,1.2376696822638185e+18,5.02121532764488,8.68712399732264,23.06504,22.22179,21.92411,21.27503,21.2025,5636,301,6,155,1.2736288189582694e+19,QSO,1.653578,11312,58433,394
73172,1.237679317481489e+18,6.33816128949638,9.02184074719727,26.35326,25.00586,22.61209,20.94273,19.70351,7880,301,1,85,1.2736425903414071e+19,GALAXY,0.9366422,11312,58433,895
97446,1.237669767626097e+18,20.5690584257434,7.72368239589371,22.04049,20.34859,19.56769,19.21597,19.00389,5656,301,5,152,1.2471848771154893e+19,QSO,4.476268,11077,58433,929
31234,1.2376609575716132e+18,125.022388286467,26.4162295756143,25.75201,22.86929,21.1654,20.17421,19.6704,3605,301,3,109,1.2525855407921715e+19,GALAXY,0.5485713,11125,58433,796
94610,1.2376696822639496e+18,5.30994111250072,8.56211194821296,21.61219,21.24875,21.0254,20.6706,20.64718,5636,301,6,157,1.273626784861758e+19,QSO,1.97667,11312,58433,320
39690,1.237669697836418e+18,336.57069657952,6.58775866649454,24.16026,23.73171,22.64328,20.89439,19.88736,5640,301,3,206,1.2767879082794e+19,GALAXY,0.7340545,11340,58433,633
88737,1.237679317481292e+18,5.94252595528576,8.9885696643311,22.13996,21.57415,21.02393,20.61602,20.42589,7880,301,1,82,1.2736404188059425e+19,QSO,1.500489,11312,58433,816
34686,1.2376696978369423e+18,337.804057341813,6.46867954262529,24.4461,25.55273,23.23388,21.88749,19.96119,5640,301,3,214,1.2767945053491714e+19,GALAXY,0.8909332,11340,58433,873
97543,1.2376697676200673e+18,6.73919076214884,8.00922507432834,18.05521,17.04921,16.71439,16.60387,16.559,5656,301,5,60,1.2736195280850147e+19,STAR,-0.0007236451,11312,58433,56
70226,1.2376788251768271e+18,338.077403767097,4.58723594981299,25.15519,22.31909,21.49956,20.10647,19.28282,7765,301,4,176,1.2767719103852206e+19,GALAXY,0.7663944,11340,58433,51
63291,1.2376788251763684e+18,337.075064565884,4.5571442500415,23.23981,22.76784,22.33675,20.96678,19.8168,7765,301,4,169,1.276778452479406e+19,GALAXY,1.007947,11340,58433,289
83759,1.2376700172618304e+18,20.7101065712624,8.27618988355286,19.65239,19.30748,19.07936,18.79896,18.75878,5714,301,6,11,1.2471853993835125e+19,QSO,1.562088,11077,58433,948
31473,1.2376609575713516e+18,124.48656794555,26.0908245107034,23.72272,23.46244,21.76469,20.41775,19.73099,3605,301,3,105,1.2525825446229858e+19,GALAXY,0.7634009,11125,58433,687
11925,1.2376697627976015e+18,336.868851320042,6.66532353446683,23.26326,23.84657,22.10592,20.95308,20.024,5655,301,4,203,1.2767898874003347e+19,GALAXY,0.7179884,11340,58433,705
95198,1.2376696822637532e+18,4.95398688935143,8.68887739197449,22.7073,21.89786,21.60727,21.24136,20.42619,5636,301,6,154,1.2736289838850136e+19,QSO,2.093524,11312,58433,400
11901,1.2376648804876296e+18,143.808947398231,31.1705568060465,24.00546,24.03094,21.7024,20.57763,19.71601,4518,301,6,113,1.2809590705677949e+19,GALAXY,0.9187948,11377,58434,827
6083,1.2376803139110833e+18,17.7705505142147,30.824641388748,20.89339,20.62014,20.36547,20.03973,19.82131,8112,301,1,42,8.696679170615564e+18,QSO,1.793604,7724,58434,830
7739,1.2376648799508892e+18,144.229644715342,30.9820458971792,20.50376,18.62766,18.49668,18.52669,18.38188,4518,301,5,115,1.2809608022986086e+19,QSO,3.010149,11377,58434,890
79007,1.2376803316465016e+18,16.6264021254745,28.6758878968904,25.5524,23.4137,21.53303,20.51594,19.77135,8116,301,2,327,8.696552451900462e+18,GALAXY,0.6332458,7724,58434,369
16403,1.237664880487302e+18,143.043228049649,30.9339567177135,24.86036,22.79944,21.46303,20.45444,19.80569,4518,301,6,108,1.2809559919352371e+19,GALAXY,0.5813758,11377,58434,715
22100,1.2376648804874982e+18,143.445395247502,31.0848245992143,22.14242,21.91282,21.60032,21.64417,21.4039,4518,301,6,111,1.28095667913e+19,QSO,1.246702,11377,58434,740
14941,1.2376648804873674e+18,143.176961408896,31.0010601445511,26.49681,23.89813,21.60468,20.33228,19.61792,4518,301,6,109,1.2809559369596555e+19,GALAXY,0.7143017,11377,58434,713
31561,1.2376802843844288e+18,18.1068487217755,28.8296040531951,25.01036,22.9428,21.85755,20.76888,19.96993,8105,301,2,61,8.696475486086519e+18,GALAXY,0.5667842,7724,58434,89
15360,1.2376648804871708e+18,142.680035673951,30.7541913199048,23.37673,23.50178,21.71091,20.55913,19.82117,4518,301,6,106,1.2809482953538429e+19,GALAXY,0.6399276,11377,58434,435
14990,1.2376648804876956e+18,143.991274721993,31.3766905046275,25.71037,24.87198,22.10112,20.7579,19.92588,4518,301,6,114,1.2809600051526783e+19,GALAXY,0.7581586,11377,58434,861
84355,1.237664837007311e+18,143.073395593521,30.371192515176,20.71484,20.81501,20.60572,20.67701,20.58185,4508,301,5,208,1.2809459314038428e+19,QSO,1.220467,11377,58434,349
21679,1.237664880487236e+18,142.86574119764,30.9534486183911,22.33467,21.41184,21.23132,20.79749,20.67128,4518,301,6,107,1.280954754984656e+19,QSO,1.971123,11377,58434,670
8003,1.237664879950234e+18,142.732813218292,30.4226349700388,20.02226,19.36095,19.35039,19.33555,19.11923,4518,301,5,105,1.2809469484521e+19,QSO,2.376711,11377,58434,386
84356,1.2376648370075732e+18,143.836156369981,30.5791815543883,20.11894,19.86614,19.78586,19.82311,19.55762,4508,301,5,212,1.2809427153323315e+19,QSO,0.8681549,11377,58434,232
14804,1.237664880486909e+18,142.011262526163,30.5594858414327,22.36618,23.05023,21.09523,19.94324,19.28464,4518,301,6,102,1.2809498896457e+19,QSO,0.8696021,11377,58434,493
12966,1.2376648804868431e+18,141.926979844915,30.5569236913462,25.59527,23.87436,21.57782,20.51043,19.68482,4518,301,6,101,1.2809499446212844e+19,QSO,1.0429,11377,58434,495
2255,1.2376803337938545e+18,16.3828205683946,30.3578332649653,24.40911,22.83254,21.24979,20.14086,19.4594,8116,301,6,325,8.696620071865571e+18,GALAXY,0.5267974,7724,58434,615
5004,1.23768031391128e+18,18.2388625522926,30.8218079228089,21.21359,21.04736,20.79005,20.7969,20.22846,8112,301,1,45,8.696701710603933e+18,QSO,1.023108,7724,58434,912
88163,1.237680309625488e+18,18.3801914851156,30.5514098016244,22.72856,22.06292,22.15474,22.23321,20.8743,8111,301,1,185,8.696717653522536e+18,QSO,2.317494,7724,58434,970
46830,1.2376803096246364e+18,16.1961715862922,30.9230776848297,26.82464,24.08339,22.07321,20.53438,19.65698,8111,301,1,172,8.696600830412085e+18,GALAXY,0.7729094,7724,58434,545
25854,1.2376803337941824e+18,17.3076031875557,30.3053058749076,25.94907,26.23504,23.38391,21.82333,20.01706,8116,301,6,330,8.696661303551613e+18,STAR,-7.823914e-05,7724,58434,765
68027,1.2376803337939195e+18,16.6856801271887,30.4279251098102,22.31472,22.13487,21.50244,21.7432,22.21639,8116,301,6,326,8.696626943813245e+18,GALAXY,0.2014261,7724,58434,640
63471,1.2376803316466975e+18,17.0243024865295,28.6205934079061,20.12982,20.03314,19.91919,19.50211,19.41016,8116,301,2,330,8.696539532638837e+18,QSO,1.870607,7724,58434,322
11969,1.237664880487826e+18,144.224900620146,31.3872495560103,26.24837,22.14785,20.05999,19.41092,18.95462,4518,301,6,116,1.2809599776648878e+19,GALAXY,0.4243153,11377,58434,860
31119,1.2376640929048832e+18,143.060941466668,31.7287718828663,25.18324,23.37387,21.6281,20.6134,19.90587,4335,301,3,218,1.2809542327166329e+19,QSO,1.939897,11377,58434,651
6769,1.2376648799509548e+18,144.422913783806,30.9335566705551,24.88689,22.07587,20.55452,20.39374,20.18402,4518,301,5,116,1.280960939737562e+19,QSO,3.803933,11377,58434,895
6724,1.237680333794575e+18,18.3615417216712,30.3502100420987,25.59816,24.99002,21.97906,20.77845,19.58694,8116,301,6,336,8.696709682063235e+18,GALAXY,0.8414551,7724,58434,941
38108,1.237680285994583e+18,17.0117268180057,30.2014612018705,25.52666,24.1896,22.38136,20.96052,19.80034,8105,301,5,54,8.69663986307487e+18,GALAXY,0.765672,7724,58434,687
41434,1.237680285994255e+18,16.238518024915,30.274953957568,27.0767,23.60838,22.29113,20.86856,19.90933,8105,301,5,49,8.696606327970224e+18,GALAXY,0.7850599,7724,58434,565
77312,1.2376648777992115e+18,135.318034847774,25.330508810105,23.08434,23.74024,22.81625,21.3437,19.95732,4518,301,1,51,1.2527020615419582e+19,QSO,0.1923864,11126,58436,939
72827,1.237669766550979e+18,17.4698415554583,7.01390104230178,22.3425,22.52493,21.8441,21.8491,22.36588,5656,301,3,131,1.24660287812815e+19,QSO,1.377934,11072,58436,236
27468,1.2376697010510894e+18,16.5124942901975,6.35280475295611,24.90484,24.05443,22.50935,19.94464,18.43811,5641,301,1,106,1.2466074960769864e+19,STAR,-6.450637e-05,11072,58436,404
72338,1.237664877798425e+18,133.559720436226,24.5334145012515,24.32229,21.81412,20.09702,19.49562,19.21772,4518,301,1,39,1.2526878228663783e+19,GALAXY,0.3570428,11126,58436,421
33398,1.2376576295047665e+18,117.472837141815,26.5022991250288,24.59856,24.75519,21.85108,20.52371,19.76857,2830,301,4,47,1.250222058089928e+19,GALAXY,0.6586828,11104,58436,829
74813,1.237669766550585e+18,16.4870559830292,7.10958682518427,20.31199,19.93206,19.79277,19.55456,19.65452,5656,301,3,125,1.2466123339281488e+19,QSO,1.600079,11072,58436,580
72528,1.2376697665507822e+18,17.0524982627888,7.07033669588842,21.12134,20.93209,20.82027,20.45475,20.22224,5656,301,3,128,1.2466051046392e+19,QSO,1.908686,11072,58436,317
37504,1.2376697026618988e+18,16.939774652739,7.69899114922891,24.56502,24.11129,21.53766,20.08911,19.2637,5641,301,4,109,1.2466140106833811e+19,GALAXY,0.7003137,11072,58436,641
40009,1.2376697026623575e+18,18.0068546391236,7.65691569024757,26.62935,23.37943,21.85444,20.69932,19.9198,5641,301,4,116,1.2466218172159384e+19,GALAXY,0.5657074,11072,58436,925
10300,1.237669767620658e+18,8.061296384797,7.98415447499676,22.57281,24.23797,21.80477,20.68361,19.51013,5656,301,5,69,1.2738508928243229e+19,GALAXY,0.8648022,11314,58436,281
7484,1.23765762896711e+18,116.439186555335,24.8457640761877,24.37648,23.97791,21.78216,20.4085,19.63535,2830,301,3,35,1.2502097985352784e+19,GALAXY,0.7092423,11104,58436,383
35955,1.2376697026578355e+18,7.64890442234588,7.76822521065576,25.7079,22.9716,21.71061,20.54069,19.87604,5641,301,4,47,1.273854191359206e+19,GALAXY,0.6011606,11314,58436,401
64898,1.2376793180186225e+18,6.97910866850305,9.48733986819371,23.71831,23.49066,21.8562,20.57625,19.91256,7880,301,2,89,1.2738576548208337e+19,GALAXY,0.6014536,11314,58436,527
71712,1.237679318019343e+18,8.73634889243073,9.41847983105631,25.3876,23.42301,21.687,20.35766,19.68842,7880,301,2,100,1.2738666708161812e+19,GALAXY,0.6671867,11314,58436,855
9601,1.237679317482144e+18,7.89889701938012,8.96653048753836,22.14603,21.40635,21.64925,21.02044,22.06749,7880,301,1,95,1.2738518823847877e+19,GALAXY,0.07426124,11314,58436,317
