,obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
52630,1.2376650265149445e+18,182.907418072098,36.1696582755495,21.53807,20.92246,19.48995,19.0324,18.74691,4552,301,6,89,9.981212200155765e+18,GALAXY,0.3267486,8865,57426,398
79444,1.2376619577570104e+18,198.471350132533,51.0406428887545,23.11125,22.05269,20.71134,20.0981,19.7866,3838,301,2,31,9.243785419447095e+18,STAR,-0.0005841439,8210,57426,535
82626,1.237662301893886e+18,200.643272145773,51.416539254025,24.98538,24.30078,21.98885,20.63775,19.56633,3918,301,3,71,9.243859086726158e+18,STAR,-0.0004504533,8210,57426,803
80472,1.2376619577577964e+18,201.293153560161,50.5675888274275,22.2184,21.51639,21.31206,21.3387,21.43511,3838,301,2,43,9.243666947069204e+18,STAR,-0.0006519255,8210,57426,104
77085,1.2376648192880156e+18,184.446724378608,37.7967757137933,25.40906,23.8402,21.97389,20.78387,19.86445,4504,301,4,169,9.981355411545285e+18,GALAXY,0.6759121,8865,57426,919
78040,1.2376648192832973e+18,171.021987966027,37.0386769720049,24.20165,23.38762,21.69559,20.68655,19.91334,4504,301,4,97,9.991369763451066e+18,QSO,6.50143,8874,57426,487
58190,1.2376650265152724e+18,183.820544691453,36.1265560492961,25.26344,23.23229,22.27604,20.64483,19.84585,4552,301,6,94,9.981168219690654e+18,STAR,2.522448e-06,8865,57426,238
73786,1.2376648176766817e+18,182.460437097911,36.6297523567727,21.27913,18.98855,18.09158,17.67779,17.34555,4504,301,1,158,9.98124023770227e+18,GALAXY,0.1377487,8865,57426,500
79409,1.237661957757862e+18,201.497023301625,50.6466840506923,22.19398,20.71984,20.09379,19.86452,19.67758,3838,301,2,44,9.243659800243626e+18,STAR,-3.389801e-05,8210,57426,78
69158,1.2376582061259494e+18,198.707439910403,50.3396428670349,22.39458,22.16361,21.61201,21.20221,21.17125,2964,301,6,380,9.243766177993611e+18,QSO,1.461306,8210,57426,465
93154,1.2376619582943404e+18,200.371172402954,51.2359464826983,26.14873,22.65109,20.94034,20.22099,19.96383,3838,301,3,38,9.243850290633136e+18,GALAXY,0.4056322,8210,57426,771
