,obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
6479,1.237680313914098e+18,25.7136250928834,29.8044831885308,21.09218,20.90638,20.69456,20.45384,20.01929,8112,301,1,88,8.706784776433195e+18,QSO,0.871093,7733,58103,730
49699,1.2376786614316567e+18,17.5366154521708,4.47780393591935,23.27865,20.809,20.36934,20.34607,20.052,7727,301,3,183,1.0624257738728e+19,QSO,3.274271,9436,58103,968
19207,1.237678617430262e+18,28.3984427120171,1.06483666318593,21.13106,20.82927,20.73934,20.25982,20.41373,7717,301,1,519,1.057239130134468e+19,QSO,1.60703,9390,58103,695
36965,1.2376803337973934e+18,25.7042976567541,29.3886372246905,26.75821,25.50723,22.25951,20.38431,19.53449,8116,301,6,379,8.706670152346e+18,GALAXY,0.9185327,7733,58103,313
16553,1.237678598634472e+18,16.2288493238331,3.58300399504726,22.89181,23.06632,22.20458,22.22802,20.97666,7712,301,6,438,1.0624076319309451e+19,GALAXY,0.8556008,9436,58103,308
69789,1.2376640928986565e+18,128.988402112322,24.7626421249713,17.91605,16.97933,16.66364,16.55506,16.53077,4335,301,3,123,1.0815463360554097e+19,STAR,-0.0002170678,9606,58103,250
66864,1.2376640939726607e+18,129.113669454425,25.7204127013591,22.96988,22.04324,21.62426,21.1151,20.6085,4335,301,5,127,1.0815456763484328e+19,QSO,5.778521,9606,58103,226
97393,1.2376803337978516e+18,26.7778249071646,29.1527060443262,22.29767,22.01579,21.54758,21.49688,21.46018,8116,301,6,386,8.70661435213089e+18,QSO,1.141468,7733,58103,110
85882,1.2376803337976548e+18,26.3690940755747,29.3223822076225,19.54935,19.33358,19.17368,19.14718,18.9708,8116,301,6,383,8.706637991630887e+18,QSO,0.8549088,7733,58103,196
47416,1.2376664079177492e+18,27.8194464981067,-0.0035898846342861,24.38986,23.22977,22.89165,21.86881,21.4743,4874,301,3,607,1.0572206308513309e+19,GALAXY,0.0,9390,58103,22
34970,1.237678622234576e+18,16.5960390645112,4.37585573551037,22.5667,22.76008,21.8271,21.32228,21.15675,7718,301,2,99,1.06242008390013e+19,GALAXY,0.8620496,9436,58103,761
43022,1.2376786190374671e+18,20.6962105314066,2.56791617119034,23.12679,22.76752,22.53572,21.42829,21.9137,7717,301,4,467,1.0584738816924604e+19,GALAXY,0.8847736,9401,58103,559
15149,1.2376786174271163e+18,21.1705271434098,1.15924522009037,21.36034,21.90403,21.00449,20.54082,21.43727,7717,301,1,471,1.0584676969395542e+19,GALAXY,0.8106899,9401,58103,334
6759,1.2376803139147533e+18,27.4024839442694,29.4923014736893,21.58014,21.30459,20.82437,20.74783,20.2644,8112,301,1,98,8.706589613119264e+18,QSO,1.197609,7733,58103,20
95444,1.237680333797786e+18,26.7046573044677,29.1335648770877,21.60147,20.84368,20.67928,20.69941,19.98923,8116,301,6,385,8.706613802375075e+18,QSO,2.24362,7733,58103,108
