,obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
87063,1.2376802516339924e+18,28.8618358111657,28.4539359984194,22.97617,25.90771,22.07855,20.65937,19.98739,8097,301,5,41,8.710031353100655e+18,GALAXY,0.7474781,7736,57728,253
88271,1.2376802516335334e+18,27.6189759872365,28.5382260187127,23.09947,22.79381,21.39312,20.33709,19.67689,8097,301,5,34,8.710088527705299e+18,GALAXY,0.6661662,7736,57728,461
62078,1.237680252171191e+18,29.7690974216284,28.6235087133576,26.34246,22.3074,19.91426,19.80399,18.96863,8097,301,6,46,8.70998050068787e+18,QSO,7.011245,7736,57728,68
68700,1.2376786238549532e+18,38.969138299481,4.95714475794757,23.63829,22.56491,21.84483,21.1503,20.63599,7718,301,5,248,1.0603929411706444e+19,QSO,0.6723301,9418,57728,742
68063,1.237679580547449e+18,28.9253894740338,29.8824505575231,22.40955,22.4707,21.58419,20.29829,19.5775,7941,301,3,73,8.710180886682032e+18,GALAXY,0.5881316,7736,57728,797
9135,1.237680313914819e+18,27.5199613625068,29.5081031782825,20.38576,19.77635,19.61303,19.61821,19.44374,8112,301,1,99,8.710106119891344e+18,QSO,2.229187,7736,57728,525
6602,1.2376803139147533e+18,27.4205856867438,29.6276082520957,21.02963,21.31127,21.14213,20.96331,20.40154,8112,301,1,98,8.710221293734352e+18,GALAXY,0.0,7736,57728,944
88891,1.2376802516341235e+18,29.1014440909699,28.419049778252,22.85915,23.70002,22.06615,20.74121,19.91096,8097,301,5,43,8.710020907740191e+18,GALAXY,0.6671374,7736,57728,215
62589,1.2376802859990392e+18,28.7085415363706,28.6599143157266,27.50238,24.65409,21.8668,20.66877,19.57254,8105,301,5,122,8.710034101879725e+18,GALAXY,1.07561,7736,57728,263
86786,1.2376622251334044e+18,162.106460954365,37.913598142311,21.69891,21.22601,21.01078,20.75794,20.66248,3900,301,4,255,9.93168965180197e+18,GALAXY,0.1911,8821,57731,460
69865,1.2376611374258583e+18,161.516241526305,39.3942358830676,18.90505,17.93608,17.5792,17.44326,17.42015,3647,301,2,147,9.931701196674062e+18,STAR,-0.0003394427,8821,57731,502
87396,1.2376619663493704e+18,164.027855206919,39.7834183138979,24.1167,24.75274,21.60766,20.5304,19.88806,3840,301,2,68,9.931813621738e+18,GALAXY,0.692415,8821,57731,911
30039,1.2376646695119757e+18,163.253412859781,38.7875334124387,24.16762,22.8332,21.70428,20.5328,19.82061,4469,301,5,336,9.931796579307772e+18,GALAXY,0.72263,8821,57731,849
77496,1.23766113742599e+18,161.910089536984,39.6123714587673,21.40501,21.23041,20.83106,20.84262,20.71171,3647,301,2,149,9.931713566179877e+18,QSO,1.166443,8821,57731,547
88848,1.23766184985428e+18,170.717049553706,43.1094155329087,23.72079,21.31722,20.67278,20.27309,20.03935,3813,301,1,158,9.413683885433444e+18,GALAXY,0.1880499,8361,57731,126
87135,1.2376611368893816e+18,162.870125216463,39.2491894399772,24.63832,23.7094,21.54008,20.40443,19.59112,3647,301,1,153,9.931774039319402e+18,GALAXY,0.8189226,8821,57731,767
25996,1.2376618509277596e+18,169.838919595414,43.8054981354424,21.30597,21.3733,21.11468,21.02356,21.0219,3813,301,3,154,9.413725117119484e+18,QSO,1.283737,8361,57731,276
73699,1.2376613827787492e+18,163.010427803992,40.0491841921129,21.49486,21.45713,21.66049,21.49366,21.34427,3704,301,3,191,9.931767717127545e+18,QSO,1.902699,8821,57731,744
74140,1.237661382778618e+18,162.640121318465,40.0175083041533,22.4006,21.55871,21.51347,21.49,21.85165,3704,301,3,189,9.931755897377544e+18,QSO,2.827254,8821,57731,701
25716,1.2376622251342564e+18,164.414709577907,38.3180516664242,21.71454,21.50845,21.15755,20.88323,20.77028,3900,301,4,268,9.9315720040578e+18,QSO,1.376367,8821,57731,32
56083,1.2376613827787494e+18,163.017753514104,40.1042907340181,22.86428,22.02425,21.7755,21.77543,21.29003,3704,301,3,191,9.931777887610102e+18,STAR,0.0003192392,8821,57731,781
73957,1.2376607728887404e+18,168.500587296297,43.4051964911473,24.92846,23.13004,21.59427,20.18507,19.6277,3562,301,3,120,9.413781741968316e+18,STAR,1.015473e-06,8361,57731,482
87068,1.2376611368892503e+18,162.369054132489,39.3130735536859,25.33195,23.8747,21.65305,20.49397,19.67075,3647,301,1,151,9.93173995445894e+18,GALAXY,0.7344499,8821,57731,643
80273,1.2376646684379057e+18,162.480659210471,37.7317922647754,23.57945,21.53514,19.67749,19.10961,18.54,4469,301,3,331,9.93167618278453e+18,GALAXY,0.3276064,8821,57731,411
70942,1.237664668438233e+18,163.392237163298,37.9585940099666,21.61683,19.45638,18.02705,17.53839,17.22732,4469,301,3,336,9.931613785499654e+18,GALAXY,0.2219675,8821,57731,184
72432,1.237661137426252e+18,162.698834738042,39.6529996725976,21.66308,19.52658,18.61182,18.25242,18.04379,3647,301,2,153,9.931758646156614e+18,STAR,-4.285656e-05,8821,57731,711
85838,1.2376618498538867e+18,169.501647980216,43.0207271192711,22.51746,21.90677,21.74945,21.48147,21.52702,3813,301,1,152,9.413740510282277e+18,QSO,1.61336,8361,57731,332
70080,1.2376611374267108e+18,163.987329070384,39.9622458621718,21.43814,21.41008,21.41638,21.02584,20.63281,3647,301,2,160,9.931810872958933e+18,GALAXY,0.9850314,8821,57731,901
84986,1.237661849854411e+18,171.081669620258,43.0840900682573,22.12345,21.99509,21.51852,21.62956,21.28038,3813,301,1,160,9.413664369102051e+18,QSO,1.417525,8361,57731,55
73341,1.2376611374266452e+18,163.757163980404,39.9530888774927,21.53008,21.56866,21.50345,21.66214,20.84256,3647,301,2,159,9.931813071982189e+18,QSO,2.035905,8821,57731,909
37714,1.2376646695119754e+18,163.23404465676,38.6073076841537,22.81762,22.43527,21.72392,20.59445,19.90152,4469,301,5,336,9.931788332970566e+18,GALAXY,0.6966696,8821,57731,819
93091,1.2376622262075392e+18,162.856325565872,38.8446308856511,24.20561,24.04051,21.8529,20.70608,19.96494,3900,301,6,261,9.93176524322638e+18,GALAXY,0.5753366,8821,57731,735
24830,1.2376621955963295e+18,172.770184670212,42.6357179273313,25.18542,23.65338,21.38228,20.36078,19.62526,3893,301,5,115,9.41486613532799e+18,GALAXY,0.4643426,8362,57732,331
78923,1.23766219559764e+18,176.789237820742,42.9469381519285,21.41713,20.90109,20.8154,20.88577,20.31915,3893,301,5,135,9.42381918363506e+18,QSO,2.556574,8370,57732,134
9495,1.237661850928677e+18,172.604375239602,44.2243285109472,22.05612,21.83798,21.34427,21.97668,22.55334,3813,301,3,168,9.414986256973322e+18,GALAXY,0.272858,8362,57732,768
77619,1.237662195596657e+18,173.693423606962,42.6625933194243,22.48524,21.64594,21.51996,21.36572,20.58174,3893,301,5,120,9.41481363364776e+18,QSO,2.192314,8362,57732,140
33347,1.237661968500261e+18,173.621515978569,42.9803493640312,22.36401,21.94868,21.79761,21.31912,21.29417,3840,301,6,120,9.414802638531486e+18,QSO,1.607315,8362,57732,100
37643,1.2376619685e+18,173.009521520829,42.8839938287833,23.49037,21.76185,21.40478,21.15016,21.00978,3840,301,6,116,9.414843320461711e+18,QSO,2.98478,8362,57732,248
34711,1.2376619685012444e+18,176.782699045456,43.2221932780276,22.82376,22.0087,21.79292,21.59791,21.09426,3840,301,6,135,9.42383100338506e+18,GALAXY,0.6630734,8370,57732,177
34603,1.2376619685000645e+18,173.076465587621,42.7287354449415,21.34214,21.1919,20.91666,20.91756,20.51504,3840,301,6,117,9.41485239143264e+18,QSO,2.190405,8362,57732,281
36130,1.2376619685001956e+18,173.607937046576,42.8773881870282,20.71619,20.64355,20.3609,20.00093,19.94403,3840,301,6,119,9.41479769072916e+18,QSO,1.703344,8362,57732,82
